"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5901","BOOKING_02: Log in first → book room → success + appears in dashboard","chromium","2026-06-07","failed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","3901","REVIEW_04: Room with no comments → displays ""No comments""","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","7254","ROOM_01: Room detail displays correctly according to API response (name, host, amenities, price, reviews)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","10868","BOOKING_04: Booking modal displays fully: price, reviews, dates, guests, book button, total price, language consistency","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","6575","REVIEW_08: Comment with special characters, emoji → success","chromium","2026-06-07","failed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","10367","REVIEW_01: Comment section displays correctly: avatar, name, stars, date, content (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","12131","ROOM_05: Click image → gallery opens, navigate next/prev, close gallery","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","9179","REVIEW_02: Guest user sees ""Need login to comment"" notification","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","6987","REVIEW_05: Submit comment without selecting stars → still succeeds","chromium","2026-06-07","failed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","8948","BOOKING_07: Click Check-in → opens date picker, select dates → displays correctly on modal","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","11528","UPDATE_AVATAR_07: Should handle rectangular image upload","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6467","UPDATE_AVATAR_04: Should show error when no image selected","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6530","UPDATE_AVATAR_06: Should reject image exceeding file size limit","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","1","UPDATE_AVATAR_05: Should reject non-image file format","chromium","2026-06-07","skipped","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","9955","ROOM_03: Click ""Dịch sang tiếng Anh"" → content is translated (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","5311","ROOM_02: Access room detail via direct URL → displays correctly","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","15174","BOOKING_01: Not logged in click Book → show login request notification","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","6547","REVIEW_07: Comment with only spaces → reject submit (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","6515","UPDATE_AVATAR_01: Should open photo update popup","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6642","REVIEW_03: Logged in user submits comment → success and instantly displays","chromium","2026-06-07","failed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","6536","UPDATE_AVATAR_03: Should upload image in correct format","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6542","UPDATE_AVATAR_02: Should close photo update popup","chromium","2026-06-07","failed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","9827","BOOKING_03: Log in directly on room detail page → book room → success + appears in dashboard","chromium","2026-06-07","failed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","11839","BOOKING_05: Select past date (Yesterday) → must not apply to check-in (BUG: app allows)","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","10138","BOOKING_06: Increase/decrease guest count using +/– → correct values, within min/max limits","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","6104","REVIEW_06: Extremely long comment → character limit or warning (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","7794","ROOM_04: Click ""Hiển thị thêm""/""Ẩn bớt"" description (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
