"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6358","REVIEW_08: Bình luận với ký tự đặc biệt, emoji → thành công","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","5437","REVIEW_08: Comment with special characters, emoji → success","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","13272","REVIEW_06: Extremely long comment → character limit or warning (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","12050","UPDATE_PROFILE_03: Should update profile successfully","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","5093","Should not register with letters in phone number","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","3962","ROOM_LIST_01: Should display room list with full info","chromium","2026-06-07","passed","2026-06-07","Room List","homepage/room-list.spec.ts","",""
"","3830","Should not register with all fields empty","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","6336","BOOKED_02: Should show message when no rooms rented","chromium","2026-06-07","skipped","2026-06-07","Dashboard - Booked Rooms","dashboard/booked.spec.ts","",""
"","3445","SEARCH_09: Results page displays full layout: location banner, search bar, filters, room list","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","4072","Should register successfully","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","2039","PROMINENT_LOCATION_02: Should navigate to room list on location click","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","4096","BOOKING_07: Click Nhận phòng → mở date picker, chọn ngày → hiển thị đúng trên modal","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","2568","SEARCH_FILTER_01: Should show all locations when location is blank","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","2142","SEARCH_01: Tìm kiếm theo địa điểm từ trang chủ → hiển thị kết quả đúng location","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","1","SEARCH_FILTER_07: Should handle excessive guest count","chromium","2026-06-07","skipped","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","2538","PROMINENT_LOCATION_03: Should switch between locations","chromium","2026-06-07","passed","2026-06-07","Prominent Location","homepage/location.spec.ts","",""
"","4256","Should close register form by clicking outside popup","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","3625","BOOKING_04: Booking modal hiển thị đủ: giá, đánh giá, ngày, khách, nút đặt, tổng tiền, ngôn ngữ nhất quán","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","1998","Location Integrity - 8 địa điểm từ API phải hiển thị trên trang","chromium","2026-06-07","passed","2026-06-07","","homepage/layout.spec.ts","",""
"","3280","ROOM_01: Room detail hiển thị đúng theo API response (tên, host, tiện ích, giá, bình luận)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","4083","SEARCH_04: Select dates on homepage → search bar updates with correct selected dates","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","9114","UPDATE_AVATAR_08: Should handle multiple upload clicks","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","6591","UPDATE_PROFILE_14: Should show error when gender is not selected","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","4662","Should not register with incorrect phone number length","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","5439","BOOKED_01: Should display list of rented rooms","chromium","2026-06-07","passed","2026-06-07","Dashboard - Booked Rooms","dashboard/booked.spec.ts","",""
"","3680","REVIEW_01: Section bình luận hiển thị đúng: avatar, tên, sao, ngày, nội dung (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","5653","ROOM_03: Click ""Dịch sang tiếng Anh"" → nội dung được dịch (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","6731","UPDATE_AVATAR_04: Should show error when no image selected","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","9613","UPDATE_AVATAR_03: Should upload image in correct format","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","2592","ROOM_04: Click ""Hiển thị thêm""/""Ẩn bớt"" mô tả phòng (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","2196","SEARCH_FILTER_02: Should search rooms by valid location","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","3148","ROOM_01: Room detail displays correctly according to API response (name, host, amenities, price, reviews)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","3486","SEARCH_03: Open location picker → display all locations from API","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","3487","Should show error when Birthday is missing","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","4316","SEARCH_05: Chọn ngày trên trang kết quả → date picker hoạt động bình thường","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","2418","SEARCH_FILTER_08: Should search by clicking magnifying glass icon","chromium","2026-06-07","passed","2026-06-07","Search Filter","homepage/search-filter.spec.ts","",""
"","2581","ROOM_02: Access room detail via direct URL → displays correctly","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","2402","Should show error when only Email is filled","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","2488","SEARCH_06: Navigate to room detail → booking modal retains previously selected dates and guest count","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","8328","REVIEW_03: Logged in user submits comment → success and instantly displays","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","5265","UPDATE_PROFILE_01: Should open profile editing popup","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","9906","UPDATE_PROFILE_06: Should show error for existing email","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","3608","Should open login box","chromium","2026-06-07","passed","2026-06-07","CyberBnB Login","homepage/login.spec.ts","",""
"","10018","Should not create duplicate account when clicking register multiple times","chromium","2026-06-07","passed","2026-06-07","CyberBnB Register","homepage/register.spec.ts","",""
"","3184","SEARCH_02: Search by another location from results page → switch to new location","chromium","2026-06-07","passed","2026-06-07","Search","homepage/search.spec.ts","",""
"","10564","REVIEW_07: Bình luận toàn dấu cách → không cho submit (BUG)","chromium","2026-06-07","passed","2026-06-07","User Reviews","booking/review.spec.ts","",""
"","10374","UPDATE_PROFILE_15: Should update successfully with no data changed","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","1","EARNINGS_03: Should show message when host has no income","chromium","2026-06-07","skipped","2026-06-07","Dashboard - Earnings","dashboard/earnings.spec.ts","",""
"","10802","UPDATE_PROFILE_17: Should persist data after page refresh","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
"","1381","Header - Filter phải hiển thị đúng cấu trúc","chromium","2026-06-07","passed","2026-06-07","","homepage/layout.spec.ts","",""
"","5824","UPDATE_AVATAR_01: Should open photo update popup","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Avatar","dashboard/avatar.spec.ts","",""
"","3112","ROOM_04: Click ""Hiển thị thêm""/""Ẩn bớt"" description (BUG)","chromium","2026-06-07","passed","2026-06-07","Room Detail","booking/room-detail.spec.ts","",""
"","4377","Should not login with wrong email","chromium","2026-06-07","passed","2026-06-07","CyberBnB Login","homepage/login.spec.ts","",""
"","3754","BOOKING_04: Booking modal displays fully: price, reviews, dates, guests, book button, total price, language consistency","chromium","2026-06-07","passed","2026-06-07","Booking","booking/booking.spec.ts","",""
"","10707","UPDATE_PROFILE_13: Should show error for future date of birth","chromium","2026-06-07","passed","2026-06-07","Dashboard - Update Profile","dashboard/profile.spec.ts","",""
